,End Date,Group,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths
312,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrest,I46,35-44,49.0
313,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrest,I46,45-54,86.0
314,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrest,I46,55-64,259.0
315,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrest,I46,65-74,395.0
316,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrest,I46,75-84,391.0
317,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrest,I46,85+,263.0
320,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,3.0
321,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,2.0
322,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,10.0
323,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,19.0
324,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,73.0
325,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,148.0
326,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,231.0
327,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,193.0
330,03/27/2021,By Total,Alabama,Circulatory diseases,Heart failure,I50,0-24,0.0
331,03/27/2021,By Total,Alabama,Circulatory diseases,Heart failure,I50,25-34,7.0
332,03/27/2021,By Total,Alabama,Circulatory diseases,Heart failure,I50,35-44,13.0
333,03/27/2021,By Total,Alabama,Circulatory diseases,Heart failure,I50,45-54,21.0
334,03/27/2021,By Total,Alabama,Circulatory diseases,Heart failure,I50,55-64,70.0
335,03/27/2021,By Total,Alabama,Circulatory diseases,Heart failure,I50,65-74,138.0
336,03/27/2021,By Total,Alabama,Circulatory diseases,Heart failure,I50,75-84,207.0
337,03/27/2021,By Total,Alabama,Circulatory diseases,Heart failure,I50,85+,208.0
340,03/27/2021,By Total,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,8.0
341,03/27/2021,By Total,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,4.0
342,03/27/2021,By Total,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,8.0
343,03/27/2021,By Total,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,23.0
344,03/27/2021,By Total,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,42.0
345,03/27/2021,By Total,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,119.0
346,03/27/2021,By Total,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,116.0
347,03/27/2021,By Total,Alabama,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,116.0
350,03/27/2021,By Total,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,1.0
351,03/27/2021,By Total,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,3.0
352,03/27/2021,By Total,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,19.0
353,03/27/2021,By Total,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,41.0
354,03/27/2021,By Total,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,88.0
355,03/27/2021,By Total,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,160.0
356,03/27/2021,By Total,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,178.0
357,03/27/2021,By Total,Alabama,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,131.0
360,03/27/2021,By Total,Alabama,Sepsis,Sepsis,A40-A41,0-24,2.0
361,03/27/2021,By Total,Alabama,Sepsis,Sepsis,A40-A41,25-34,13.0
362,03/27/2021,By Total,Alabama,Sepsis,Sepsis,A40-A41,35-44,37.0
363,03/27/2021,By Total,Alabama,Sepsis,Sepsis,A40-A41,45-54,88.0
364,03/27/2021,By Total,Alabama,Sepsis,Sepsis,A40-A41,55-64,198.0
365,03/27/2021,By Total,Alabama,Sepsis,Sepsis,A40-A41,65-74,358.0
366,03/27/2021,By Total,Alabama,Sepsis,Sepsis,A40-A41,75-84,331.0
367,03/27/2021,By Total,Alabama,Sepsis,Sepsis,A40-A41,85+,128.0
370,03/27/2021,By Total,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,0.0
371,03/27/2021,By Total,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,6.0
372,03/27/2021,By Total,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,4.0
373,03/27/2021,By Total,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,15.0
374,03/27/2021,By Total,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,52.0
375,03/27/2021,By Total,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,113.0
376,03/27/2021,By Total,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,102.0
377,03/27/2021,By Total,Alabama,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,60.0
380,03/27/2021,By Total,Alabama,Diabetes,Diabetes,E10-E14,0-24,3.0
381,03/27/2021,By Total,Alabama,Diabetes,Diabetes,E10-E14,25-34,8.0
382,03/27/2021,By Total,Alabama,Diabetes,Diabetes,E10-E14,35-44,29.0
383,03/27/2021,By Total,Alabama,Diabetes,Diabetes,E10-E14,45-54,73.0
384,03/27/2021,By Total,Alabama,Diabetes,Diabetes,E10-E14,55-64,192.0
385,03/27/2021,By Total,Alabama,Diabetes,Diabetes,E10-E14,65-74,302.0
386,03/27/2021,By Total,Alabama,Diabetes,Diabetes,E10-E14,75-84,294.0
387,03/27/2021,By Total,Alabama,Diabetes,Diabetes,E10-E14,85+,152.0
390,03/27/2021,By Total,Alabama,Obesity,Obesity,E65-E68,0-24,0.0
391,03/27/2021,By Total,Alabama,Obesity,Obesity,E65-E68,25-34,8.0
392,03/27/2021,By Total,Alabama,Obesity,Obesity,E65-E68,35-44,21.0
393,03/27/2021,By Total,Alabama,Obesity,Obesity,E65-E68,45-54,41.0
394,03/27/2021,By Total,Alabama,Obesity,Obesity,E65-E68,55-64,68.0
395,03/27/2021,By Total,Alabama,Obesity,Obesity,E65-E68,65-74,62.0
396,03/27/2021,By Total,Alabama,Obesity,Obesity,E65-E68,75-84,38.0
397,03/27/2021,By Total,Alabama,Obesity,Obesity,E65-E68,85+,3.0
400,03/27/2021,By Total,Alabama,Alzheimer disease,Alzheimer disease,G30,0-24,0.0
401,03/27/2021,By Total,Alabama,Alzheimer disease,Alzheimer disease,G30,25-34,0.0
402,03/27/2021,By Total,Alabama,Alzheimer disease,Alzheimer disease,G30,35-44,0.0
403,03/27/2021,By Total,Alabama,Alzheimer disease,Alzheimer disease,G30,45-54,0.0
404,03/27/2021,By Total,Alabama,Alzheimer disease,Alzheimer disease,G30,55-64,7.0
405,03/27/2021,By Total,Alabama,Alzheimer disease,Alzheimer disease,G30,65-74,23.0
406,03/27/2021,By Total,Alabama,Alzheimer disease,Alzheimer disease,G30,75-84,88.0
407,03/27/2021,By Total,Alabama,Alzheimer disease,Alzheimer disease,G30,85+,139.0
410,03/27/2021,By Total,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0.0
411,03/27/2021,By Total,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0.0
412,03/27/2021,By Total,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,0.0
413,03/27/2021,By Total,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,0.0
414,03/27/2021,By Total,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,10.0
415,03/27/2021,By Total,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,80.0
416,03/27/2021,By Total,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,213.0
417,03/27/2021,By Total,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,340.0
420,03/27/2021,By Total,Alabama,Renal failure,Renal failure,N17-N19,0-24,3.0
421,03/27/2021,By Total,Alabama,Renal failure,Renal failure,N17-N19,25-34,8.0
422,03/27/2021,By Total,Alabama,Renal failure,Renal failure,N17-N19,35-44,29.0
423,03/27/2021,By Total,Alabama,Renal failure,Renal failure,N17-N19,45-54,59.0
424,03/27/2021,By Total,Alabama,Renal failure,Renal failure,N17-N19,55-64,153.0
425,03/27/2021,By Total,Alabama,Renal failure,Renal failure,N17-N19,65-74,319.0
426,03/27/2021,By Total,Alabama,Renal failure,Renal failure,N17-N19,75-84,322.0
427,03/27/2021,By Total,Alabama,Renal failure,Renal failure,N17-N19,85+,163.0
430,03/27/2021,By Total,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,7.0
431,03/27/2021,By Total,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,4.0
432,03/27/2021,By Total,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,11.0
433,03/27/2021,By Total,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,4.0
434,03/27/2021,By Total,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,18.0
435,03/27/2021,By Total,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,32.0
436,03/27/2021,By Total,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,44.0
437,03/27/2021,By Total,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,32.0
440,03/27/2021,By Total,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,2.0
441,03/27/2021,By Total,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,32.0
442,03/27/2021,By Total,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,79.0
443,03/27/2021,By Total,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,186.0
444,03/27/2021,By Total,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,501.0
445,03/27/2021,By Total,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,931.0
446,03/27/2021,By Total,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,908.0
447,03/27/2021,By Total,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,672.0
450,03/27/2021,By Total,Alabama,COVID-19,COVID-19,U071,0-24,12.0
451,03/27/2021,By Total,Alabama,COVID-19,COVID-19,U071,25-34,65.0
452,03/27/2021,By Total,Alabama,COVID-19,COVID-19,U071,35-44,195.0
453,03/27/2021,By Total,Alabama,COVID-19,COVID-19,U071,45-54,535.0
454,03/27/2021,By Total,Alabama,COVID-19,COVID-19,U071,55-64,1378.0
455,03/27/2021,By Total,Alabama,COVID-19,COVID-19,U071,65-74,2585.0
456,03/27/2021,By Total,Alabama,COVID-19,COVID-19,U071,75-84,2916.0
457,03/27/2021,By Total,Alabama,COVID-19,COVID-19,U071,85+,2317.0
460,03/27/2021,By Total,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,7.0
461,03/27/2021,By Total,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,6.0
462,03/27/2021,By Total,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,7.0
463,03/27/2021,By Total,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,5.0
464,03/27/2021,By Total,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,18.0
465,03/27/2021,By Total,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,41.0
466,03/27/2021,By Total,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,47.0
467,03/27/2021,By Total,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,33.0
470,03/27/2021,By Total,Alaska,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,0.0
471,03/27/2021,By Total,Alaska,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,0.0
472,03/27/2021,By Total,Alaska,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,0.0
473,03/27/2021,By Total,Alaska,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,0.0
474,03/27/2021,By Total,Alaska,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,7.0
475,03/27/2021,By Total,Alaska,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,14.0
476,03/27/2021,By Total,Alaska,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,10.0
477,03/27/2021,By Total,Alaska,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,10.0
480,03/27/2021,By Total,Alaska,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,0.0
481,03/27/2021,By Total,Alaska,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,2.0
482,03/27/2021,By Total,Alaska,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,3.0
483,03/27/2021,By Total,Alaska,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,2.0
484,03/27/2021,By Total,Alaska,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,2.0
485,03/27/2021,By Total,Alaska,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,14.0
486,03/27/2021,By Total,Alaska,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,12.0
487,03/27/2021,By Total,Alaska,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,3.0
490,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory failure,J96,0-24,0.0
491,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory failure,J96,25-34,6.0
492,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory failure,J96,35-44,8.0
493,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory failure,J96,45-54,2.0
494,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory failure,J96,55-64,14.0
495,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory failure,J96,65-74,30.0
496,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory failure,J96,75-84,26.0
497,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory failure,J96,85+,14.0
500,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory arrest,R09.2,0-24,0.0
501,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory arrest,R09.2,25-34,0.0
502,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory arrest,R09.2,35-44,0.0
503,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory arrest,R09.2,45-54,0.0
504,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory arrest,R09.2,55-64,0.0
505,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory arrest,R09.2,65-74,0.0
506,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory arrest,R09.2,75-84,4.0
507,03/27/2021,By Total,Alaska,Respiratory diseases,Respiratory arrest,R09.2,85+,6.0
510,03/27/2021,By Total,Alaska,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,0.0
511,03/27/2021,By Total,Alaska,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,0.0
512,03/27/2021,By Total,Alaska,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,0.0
513,03/27/2021,By Total,Alaska,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,3.0
514,03/27/2021,By Total,Alaska,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,0.0
515,03/27/2021,By Total,Alaska,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,8.0
516,03/27/2021,By Total,Alaska,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,6.0
517,03/27/2021,By Total,Alaska,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,1.0
520,03/27/2021,By Total,Alaska,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,0.0
